Date,buy KO,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,50.99
2004-02-13,0,51.14
2004-02-20,0,50.94
2004-02-27,0,49.96
2004-03-05,0,50.10
2004-03-12,0,48.45
2004-03-19,0,48.78
2004-03-26,0,48.78
2004-04-02,0,50.93
2004-04-09,0,
2004-04-16,0,51.93
2004-04-23,0,51.05
2004-04-30,0,50.57
2004-05-07,0,50.74
2004-05-14,0,50.00
2004-05-21,0,49.38
2004-05-28,0,51.35
2004-06-04,0,52.27
2004-06-11,0,
2004-06-18,0,51.39
2004-06-25,0,50.10
2004-07-02,0,50.53
2004-07-09,0,51.02
2004-07-16,0,50.58
2004-07-23,0,45.17
2004-07-30,0,43.86
2004-08-06,0,43.50
2004-08-13,0,44.37
2004-08-20,0,44.21
2004-08-27,0,44.72
2004-09-03,0,45.49
2004-09-10,0,42.96
2004-09-17,0,40.30
2004-09-24,0,39.99
2004-10-01,0,40.31
2004-10-08,0,40.00
2004-10-15,0,39.20
2004-10-22,0,38.90
2004-10-29,0,40.66
2004-11-05,0,41.40
2004-11-12,0,40.79
2004-11-19,0,39.73
2004-11-26,0,39.86
2004-12-03,0,40.71
2004-12-10,0,40.53
2004-12-17,0,40.95
2004-12-24,0,
2004-12-31,0,41.64
2005-01-07,0,41.16
2005-01-14,0,40.97
2005-01-21,0,40.91
2005-01-28,0,41.49
2005-02-04,0,42.47
2005-02-11,0,42.76
2005-02-18,0,42.96
2005-02-25,0,43.02
2005-03-04,0,43.64
2005-03-11,0,42.48
2005-03-18,0,41.46
2005-03-25,0,
2005-04-01,0,41.38
2005-04-08,0,42.10
2005-04-15,0,41.29
2005-04-22,0,42.13
2005-04-29,0,43.44
2005-05-06,0,44.19
2005-05-13,0,44.11
2005-05-20,0,45.05
2005-05-27,0,44.93
2005-06-03,0,44.23
2005-06-10,0,43.95
2005-06-17,0,44.05
2005-06-24,0,42.20
2005-07-01,0,42.21
2005-07-08,0,42.73
2005-07-15,0,43.08
2005-07-22,0,44.03
2005-07-29,0,43.76
2005-08-05,0,44.06
2005-08-12,0,43.58
2005-08-19,0,44.39
2005-08-26,0,43.57
2005-09-02,0,43.90
2005-09-09,0,44.05
2005-09-16,0,43.40
2005-09-23,0,42.35
2005-09-30,0,43.19
2005-10-07,0,42.20
2005-10-14,0,42.07
2005-10-21,0,41.93
2005-10-28,0,42.83
2005-11-04,0,42.30
2005-11-11,0,42.76
2005-11-18,0,42.20
2005-11-25,0,42.80
2005-12-02,0,42.82
2005-12-09,0,41.51
2005-12-16,0,41.21
2005-12-23,0,41.15
2005-12-30,0,40.31
2006-01-06,0,41.41
2006-01-13,0,41.31
2006-01-20,0,40.09
2006-01-27,0,41.97
2006-02-03,0,40.88
2006-02-10,0,41.16
2006-02-17,0,41.79
2006-02-24,0,42.23
2006-03-03,0,41.80
2006-03-10,0,42.77
2006-03-17,0,42.79
2006-03-24,0,42.66
2006-03-31,0,41.87
2006-04-07,0,41.35
2006-04-14,0,
2006-04-21,0,41.85
2006-04-28,0,41.96
2006-05-05,0,42.71
2006-05-12,0,43.18
2006-05-19,0,43.65
2006-05-26,0,44.49
2006-06-02,0,43.89
2006-06-09,0,43.55
2006-06-16,0,43.21
2006-06-23,0,42.75
2006-06-30,0,43.02
2006-07-07,0,43.18
2006-07-14,0,42.65
2006-07-21,0,43.90
2006-07-28,0,44.52
2006-08-04,0,43.85
2006-08-11,0,43.76
2006-08-18,0,44.31
2006-08-25,0,44.52
2006-09-01,0,45.07
2006-09-08,0,44.60
2006-09-15,0,44.60
2006-09-22,0,43.99
2006-09-29,0,44.68
2006-10-06,0,44.76
2006-10-13,0,44.02
2006-10-20,0,46.75
2006-10-27,0,46.87
2006-11-03,0,46.50
2006-11-10,0,46.47
2006-11-17,0,47.26
2006-11-24,0,46.92
2006-12-01,0,46.57
2006-12-08,0,48.91
2006-12-15,0,48.93
2006-12-22,0,48.38
2006-12-29,0,48.25
2007-01-05,0,48.26
2007-01-12,0,48.55
2007-01-19,0,48.26
2007-01-26,0,47.83
2007-02-02,0,48.24
2007-02-09,0,47.76
2007-02-16,0,47.87
2007-02-23,0,47.26
2007-03-02,0,45.89
2007-03-09,0,47.57
2007-03-16,0,47.21
2007-03-23,0,48.05
2007-03-30,0,48.00
2007-04-06,0,
2007-04-13,0,49.88
2007-04-20,0,52.09
2007-04-27,0,52.06
2007-05-04,0,53.21
2007-05-11,0,52.69
2007-05-18,0,52.63
2007-05-25,0,51.89
2007-06-01,0,52.80
2007-06-08,0,51.67
2007-06-15,0,51.58
2007-06-22,0,51.62
2007-06-29,0,52.31
2007-07-06,0,52.60
2007-07-13,0,53.11
2007-07-20,0,53.21
2007-07-27,0,52.28
2007-08-03,0,53.28
2007-08-10,0,54.98
2007-08-17,0,54.45
2007-08-24,0,54.00
2007-08-31,0,53.78
2007-09-07,0,54.59
2007-09-14,0,56.40
2007-09-21,0,56.55
2007-09-28,0,57.47
2007-10-05,0,58.07
2007-10-12,0,57.80
2007-10-19,0,58.76
2007-10-26,0,61.57
2007-11-02,0,60.51
2007-11-09,0,60.83
2007-11-16,0,62.62
2007-11-23,0,62.30
2007-11-30,0,62.10
2007-12-07,0,63.15
2007-12-14,0,63.81
2007-12-21,0,63.07
2007-12-28,0,62.27
2008-01-04,0,61.85
2008-01-11,0,63.77
2008-01-18,0,60.74
2008-01-25,0,58.41
2008-02-01,0,59.26
2008-02-08,0,59.25
2008-02-15,0,58.76
2008-02-22,0,58.26
2008-02-29,0,58.46
2008-03-07,0,58.85
2008-03-14,0,57.53
2008-03-21,0,
2008-03-28,0,60.94
2008-04-04,0,60.25
2008-04-11,0,60.29
2008-04-18,0,60.11
2008-04-25,0,59.33
2008-05-02,0,58.77
2008-05-09,0,56.15
2008-05-16,0,57.07
2008-05-23,0,58.63
2008-05-30,0,57.26
2008-06-06,0,55.80
2008-06-13,0,55.42
2008-06-20,0,53.66
2008-06-27,0,51.84
2008-07-04,0,
2008-07-11,0,50.27
2008-07-18,0,50.03
2008-07-25,0,52.06
2008-08-01,0,53.14
2008-08-08,0,55.41
2008-08-15,0,55.06
2008-08-22,0,54.37
2008-08-29,0,52.07
2008-09-05,0,51.93
2008-09-12,0,54.50
2008-09-19,0,52.72
2008-09-26,0,52.48
2008-10-03,0,52.57
2008-10-10,0,41.50
2008-10-17,0,44.20
2008-10-24,0,41.61
2008-10-31,0,44.06
2008-11-07,0,46.25
2008-11-14,0,45.02
2008-11-21,0,44.00
2008-11-28,0,46.87
2008-12-05,0,45.98
2008-12-12,0,44.57
2008-12-19,0,44.43
2008-12-26,0,44.58
2009-01-02,0,45.90
2009-01-09,0,44.60
2009-01-16,0,43.84
2009-01-23,0,42.20
2009-01-30,0,42.72
2009-02-06,0,43.55
2009-02-13,0,43.85
2009-02-20,0,42.84
2009-02-27,0,40.85
2009-03-06,0,39.10
2009-03-13,0,41.22
2009-03-20,0,42.64
2009-03-27,0,45.10
2009-04-03,0,44.97
2009-04-10,0,
2009-04-17,83,45.02
2009-04-24,0,42.79
2009-05-01,0,42.47
2009-05-08,0,42.92
2009-05-15,0,44.96
2009-05-22,0,47.30
2009-05-29,0,49.16
2009-06-05,0,49.44
2009-06-12,0,48.89
2009-06-19,0,48.81
2009-06-26,0,48.13
2009-07-03,0,
2009-07-10,0,48.31
2009-07-17,73,50.32
2009-07-24,0,49.36
2009-07-31,0,49.84
2009-08-07,0,49.34
2009-08-14,0,48.47
2009-08-21,0,49.91
2009-08-28,0,49.06
2009-09-04,0,49.95
2009-09-11,0,51.51
2009-09-18,65,53.76
2009-09-25,0,52.97
2009-10-02,0,53.87
2009-10-09,0,54.65
2009-10-16,0,55.01
2009-10-23,0,53.24
2009-10-30,0,53.31
2009-11-06,68,54.49
2009-11-13,61,56.46
2009-11-20,61,57.48
2009-11-27,61,57.18
2009-12-04,61,57.49
2009-12-11,61,59.11
2009-12-18,0,56.92
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,55.15
2010-01-15,0,56.29
2010-01-22,63,54.24
2010-01-29,63,54.25
2010-02-05,63,53.09
2010-02-12,63,53.98
2010-02-19,63,55.72
2010-02-26,67,52.72
2010-03-05,70,54.70
2010-03-12,74,53.35
2010-03-19,78,54.75
2010-03-26,72,54.65
2010-04-02,0,
2010-04-09,0,54.59
2010-04-16,0,54.97
2010-04-23,0,53.88
2010-04-30,0,53.45
2010-05-07,0,52.67
2010-05-14,0,53.34
2010-05-21,0,51.59
2010-05-28,0,51.40
2010-06-04,64,51.27
2010-06-11,0,51.65
2010-06-18,0,52.31
2010-06-25,0,50.26
2010-07-02,0,50.05
2010-07-09,0,52.40
2010-07-16,0,52.37
2010-07-23,0,54.75
2010-07-30,59,55.11
2010-08-06,60,56.75
2010-08-13,60,55.73
2010-08-20,60,55.30
2010-08-27,56,56.16
2010-09-03,56,57.56
2010-09-10,56,58.52
2010-09-17,54,57.56
2010-09-24,49,58.62
2010-10-01,53,59.12
2010-10-08,48,59.41
2010-10-15,48,59.94
2010-10-22,0,61.61
2010-10-29,0,61.32
2010-11-05,0,62.58
2010-11-12,0,62.92
2010-11-19,0,64.32
2010-11-26,88,64.11
2010-12-03,73,64.50
2010-12-10,64,64.65
2010-12-17,78,65.70
2010-12-24,61,
2010-12-31,68,65.77
2011-01-07,60,62.92
2011-01-14,57,63.13
2011-01-21,47,62.77
2011-01-28,52,62.21
2011-02-04,45,62.56
2011-02-11,48,63.57
2011-02-18,52,64.55
2011-02-25,55,64.31
2011-03-04,59,65.21
2011-03-11,62,64.81
2011-03-18,50,62.70
2011-03-25,50,65.22
2011-04-01,50,67.22
2011-04-08,54,67.27
2011-04-15,58,68.01
2011-04-22,62,
2011-04-29,56,67.46
2011-05-06,50,66.90
2011-05-13,54,68.18
2011-05-20,45,68.30
2011-05-27,45,66.51
2011-06-03,45,65.53
2011-06-10,45,65.39
2011-06-17,62,65.62
2011-06-24,71,64.93
2011-07-01,79,68.09
2011-07-08,72,68.68
2011-07-15,55,67.53
2011-07-22,67,69.73
2011-07-29,79,68.01
2011-08-05,50,66.77
2011-08-12,82,67.14
2011-08-19,63,67.10
2011-08-26,63,68.50
2011-09-02,62,69.74
2011-09-09,38,69.37
2011-09-16,38,71.23
2011-09-23,53,67.42
2011-09-30,68,67.56
2011-10-07,45,65.90
2011-10-14,43,67.85
2011-10-21,44,68.19
2011-10-28,62,68.93
2011-11-04,51,67.78
2011-11-11,51,68.12
2011-11-18,57,67.39
2011-11-25,58,64.74
2011-12-02,43,66.38
2011-12-09,49,67.57
2011-12-16,78,67.44
2011-12-23,100,69.94
2011-12-30,55,69.97
2012-01-06,65,68.93
2012-01-13,60,66.99
2012-01-20,73,68.09
2012-01-27,57,67.44
2012-02-03,56,68.08
2012-02-10,59,67.94
2012-02-17,36,69.05
2012-02-24,69,69.00
2012-03-02,73,69.18
2012-03-09,33,69.51
2012-03-16,52,70.16
2012-03-23,36,71.49
2012-03-30,53,74.01
2012-04-06,44,
2012-04-13,68,71.94
2012-04-20,52,74.13
2012-04-27,55,76.63
2012-05-04,66,77.00
2012-05-11,61,77.47
2012-05-18,46,74.05
2012-05-25,52,75.23
2012-06-01,85,73.09
2012-06-08,48,75.24
2012-06-15,58,76.09
2012-06-22,39,74.94
2012-06-29,45,78.19
2012-07-06,42,78.15
2012-07-13,48,77.28
2012-07-20,64,77.03
2012-07-27,43,80.01
2012-08-03,68,80.83
2012-08-10,46,78.79
2012-08-17,60,39.53
2012-08-24,46,38.47
2012-08-31,51,37.40
2012-09-07,51,37.90
2012-09-14,47,38.12
2012-09-21,46,38.03
2012-09-28,49,37.93
2012-10-05,30,38.58
2012-10-12,42,38.23
2012-10-19,82,37.40
2012-10-26,60,37.04
2012-11-02,35,37.08
2012-11-09,55,36.29
2012-11-16,52,36.56
2012-11-23,35,37.93
2012-11-30,54,37.92
2012-12-07,87,37.71
2012-12-14,60,37.66
2012-12-21,67,36.89
2012-12-28,71,35.97
2013-01-04,52,37.66
2013-01-11,49,36.91
2013-01-18,29,37.70
2013-01-25,49,37.05
2013-02-01,43,37.54
2013-02-08,64,38.77
2013-02-15,59,37.42
2013-02-22,52,38.52
2013-03-01,55,38.70
2013-03-08,70,39.22
2013-03-15,85,38.83
2013-03-22,64,40.04
2013-03-29,62,
2013-04-05,60,40.08
2013-04-12,75,41.08
2013-04-19,57,42.66
2013-04-26,65,42.10
2013-05-03,40,42.24
2013-05-10,37,42.15
2013-05-17,54,42.97
2013-05-24,57,42.24
2013-05-31,39,39.99
2013-06-07,49,41.41
2013-06-14,42,40.34
2013-06-21,50,39.76
2013-06-28,61,40.11
2013-07-05,59,40.52
2013-07-12,43,41.03
2013-07-19,51,41.09
2013-07-26,29,40.64
2013-08-02,58,40.22
2013-08-09,67,40.16
2013-08-16,46,39.05
2013-08-23,55,38.52
2013-08-30,37,38.18
2013-09-06,61,38.35
2013-09-13,40,38.69
2013-09-20,67,39.40
2013-09-27,50,38.40
2013-10-04,54,37.20
2013-10-11,64,37.77
2013-10-18,47,38.78
2013-10-25,36,39.03
2013-11-01,47,39.61
2013-11-08,50,40.05
2013-11-15,56,40.22
2013-11-22,50,40.43
2013-11-29,61,40.19
2013-12-06,59,40.46
2013-12-13,34,39.23
2013-12-20,54,40.04
2013-12-27,73,40.66
2014-01-03,65,40.46
2014-01-10,47,40.13
2014-01-17,46,39.28
2014-01-24,32,38.84
2014-01-31,43,37.82
2014-02-07,73,37.95
2014-02-14,82,38.93
2014-02-21,70,37.18
2014-02-28,70,38.20
2014-03-07,57,38.55
2014-03-14,55,38.17
2014-03-21,43,38.44
2014-03-28,43,38.95
2014-04-04,50,38.22
2014-04-11,50,38.63
2014-04-18,69,
2014-04-25,42,41.01
2014-05-02, ,
