Date,MCHP,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,30.16
2004-02-13,0,30.32
2004-02-20,0,29.56
2004-02-27,0,28.77
2004-03-05,0,28.66
2004-03-12,0,27.57
2004-03-19,0,26.38
2004-03-26,0,26.49
2004-04-02,0,27.87
2004-04-09,0,
2004-04-16,0,26.80
2004-04-23,0,32.63
2004-04-30,0,28.04
2004-05-07,0,30.67
2004-05-14,0,28.67
2004-05-21,0,30.17
2004-05-28,0,31.65
2004-06-04,0,29.83
2004-06-11,0,
2004-06-18,0,29.61
2004-06-25,0,30.70
2004-07-02,0,30.00
2004-07-09,0,28.29
2004-07-16,0,25.68
2004-07-23,0,27.30
2004-07-30,0,28.97
2004-08-06,0,26.78
2004-08-13,0,26.37
2004-08-20,0,27.95
2004-08-27,0,26.76
2004-09-03,0,25.26
2004-09-10,0,27.59
2004-09-17,0,27.35
2004-09-24,0,27.31
2004-10-01,0,28.10
2004-10-08,0,27.14
2004-10-15,0,27.65
2004-10-22,0,28.80
2004-10-29,0,30.25
2004-11-05,0,30.31
2004-11-12,0,28.80
2004-11-19,0,28.53
2004-11-26,0,28.33
2004-12-03,0,28.02
2004-12-10,0,26.06
2004-12-17,0,26.05
2004-12-24,0,
2004-12-31,0,26.59
2005-01-07,0,24.53
2005-01-14,0,25.18
2005-01-21,0,24.93
2005-01-28,0,25.86
2005-02-04,0,27.79
2005-02-11,0,28.34
2005-02-18,0,26.79
2005-02-25,0,28.12
2005-03-04,0,28.18
2005-03-11,0,27.21
2005-03-18,0,25.89
2005-03-25,0,
2005-04-01,0,25.29
2005-04-08,0,25.84
2005-04-15,0,24.60
2005-04-22,0,25.36
2005-04-29,0,28.48
2005-05-06,0,28.64
2005-05-13,0,29.08
2005-05-20,0,29.99
2005-05-27,0,29.68
2005-06-03,0,29.92
2005-06-10,0,29.44
2005-06-17,0,30.68
2005-06-24,0,29.99
2005-07-01,0,29.94
2005-07-08,0,32.18
2005-07-15,0,32.43
2005-07-22,0,31.71
2005-07-29,0,31.07
2005-08-05,0,30.80
2005-08-12,0,30.77
2005-08-19,0,30.76
2005-08-26,0,30.86
2005-09-02,0,30.08
2005-09-09,0,30.44
2005-09-16,0,29.82
2005-09-23,0,28.97
2005-09-30,0,30.12
2005-10-07,0,28.35
2005-10-14,0,28.01
2005-10-21,0,29.70
2005-10-28,0,30.47
2005-11-04,0,30.56
2005-11-11,0,30.91
2005-11-18,0,32.23
2005-11-25,0,32.75
2005-12-02,0,34.19
2005-12-09,0,33.46
2005-12-16,0,32.41
2005-12-23,0,32.97
2005-12-30,0,32.15
2006-01-06,0,33.87
2006-01-13,0,34.03
2006-01-20,0,34.98
2006-01-27,0,36.90
2006-02-03,0,36.62
2006-02-10,0,36.13
2006-02-17,0,36.71
2006-02-24,0,35.53
2006-03-03,0,36.62
2006-03-10,0,34.88
2006-03-17,0,34.61
2006-03-24,0,35.86
2006-03-31,0,36.30
2006-04-07,0,36.52
2006-04-14,0,
2006-04-21,0,36.87
2006-04-28,0,37.26
2006-05-05,0,37.95
2006-05-12,0,34.72
2006-05-19,0,33.88
2006-05-26,0,34.11
2006-06-02,0,34.83
2006-06-09,0,33.35
2006-06-16,0,32.77
2006-06-23,0,32.47
2006-06-30,0,33.55
2006-07-07,0,34.68
2006-07-14,0,33.18
2006-07-21,0,31.11
2006-07-28,0,32.45
2006-08-04,0,32.00
2006-08-11,0,31.26
2006-08-18,0,33.29
2006-08-25,0,32.54
2006-09-01,0,34.23
2006-09-08,0,32.99
2006-09-15,0,33.85
2006-09-22,0,31.18
2006-09-29,0,32.42
2006-10-06,0,32.55
2006-10-13,0,33.25
2006-10-20,0,32.03
2006-10-27,0,32.41
2006-11-03,0,32.07
2006-11-10,0,33.30
2006-11-17,0,34.65
2006-11-24,0,34.63
2006-12-01,0,34.14
2006-12-08,0,34.13
2006-12-15,0,34.19
2006-12-22,0,32.73
2006-12-29,0,32.70
2007-01-05,0,33.53
2007-01-12,0,35.86
2007-01-19,0,34.83
2007-01-26,0,35.08
2007-02-02,0,35.58
2007-02-09,0,35.41
2007-02-16,0,36.02
2007-02-23,0,37.49
2007-03-02,0,35.17
2007-03-09,0,36.96
2007-03-16,0,36.44
2007-03-23,0,36.51
2007-03-30,0,35.53
2007-04-06,0,
2007-04-13,0,36.90
2007-04-20,0,37.45
2007-04-27,0,41.36
2007-05-04,100,41.10
2007-05-11,0,40.76
2007-05-18,0,40.64
2007-05-25,0,39.22
2007-06-01,0,41.05
2007-06-08,0,40.49
2007-06-15,0,42.06
2007-06-22,0,37.80
2007-06-29,0,37.04
2007-07-06,0,37.80
2007-07-13,0,38.06
2007-07-20,0,37.75
2007-07-27,0,37.03
2007-08-03,0,36.78
2007-08-10,0,38.83
2007-08-17,0,37.84
2007-08-24,81,37.20
2007-08-31,0,38.52
2007-09-07,0,37.53
2007-09-14,0,36.84
2007-09-21,0,36.66
2007-09-28,0,36.32
2007-10-05,0,36.50
2007-10-12,0,31.78
2007-10-19,73,30.08
2007-10-26,58,32.08
2007-11-02,58,32.67
2007-11-09,50,31.51
2007-11-16,45,30.76
2007-11-23,55,28.52
2007-11-30,64,28.79
2007-12-07,73,30.52
2007-12-14,83,31.59
2007-12-21,0,32.69
2007-12-28,0,31.56
2008-01-04,0,29.84
2008-01-11,0,28.32
2008-01-18,0,28.49
2008-01-25,51,30.28
2008-02-01,0,32.41
2008-02-08,0,31.10
2008-02-15,0,30.78
2008-02-22,0,31.00
2008-02-29,0,30.78
2008-03-07,0,31.39
2008-03-14,44,32.07
2008-03-21,0,
2008-03-28,0,32.50
2008-04-04,0,34.01
2008-04-11,0,33.04
2008-04-18,0,35.04
2008-04-25,53,36.00
2008-05-02,45,37.28
2008-05-09,45,36.64
2008-05-16,59,38.13
2008-05-23,73,36.28
2008-05-30,47,36.84
2008-06-06,47,34.81
2008-06-13,61,31.75
2008-06-20,66,31.69
2008-06-27,49,30.87
2008-07-04,49,
2008-07-11,49,29.75
2008-07-18,51,32.11
2008-07-25,54,31.38
2008-08-01,46,31.57
2008-08-08,46,33.32
2008-08-15,46,33.90
2008-08-22,46,32.16
2008-08-29,46,32.01
2008-09-05,53,29.70
2008-09-12,40,29.43
2008-09-19,52,31.61
2008-09-26,47,30.66
2008-10-03,60,26.95
2008-10-10,73,24.21
2008-10-17,60,22.84
2008-10-24,60,22.38
2008-10-31,40,24.63
2008-11-07,51,22.15
2008-11-14,62,19.75
2008-11-21,55,17.56
2008-11-28,62,18.50
2008-12-05,68,18.18
2008-12-12,37,20.48
2008-12-19,41,19.61
2008-12-26,44,18.37
2009-01-02,47,19.57
2009-01-09,50,17.93
2009-01-16,52,17.71
2009-01-23,53,17.21
2009-01-30,55,18.97
2009-02-06,37,20.63
2009-02-13,50,19.90
2009-02-20,34,18.86
2009-02-27,34,18.77
2009-03-06,33,18.24
2009-03-13,72,20.40
2009-03-20,47,20.18
2009-03-27,39,21.67
2009-04-03,36,22.97
2009-04-10,46,
2009-04-17,51,23.11
2009-04-24,56,22.25
2009-05-01,64,22.84
2009-05-08,59,21.51
2009-05-15,39,20.16
2009-05-22,48,21.01
2009-05-29,56,21.57
2009-06-05,63,21.74
2009-06-12,56,22.75
2009-06-19,34,22.47
2009-06-26,34,22.41
2009-07-03,39,
2009-07-10,44,22.73
2009-07-17,49,25.70
2009-07-24,59,27.03
2009-07-31,49,26.93
2009-08-07,59,26.43
2009-08-14,45,27.03
2009-08-21,45,26.73
2009-08-28,40,26.86
2009-09-04,30,26.72
2009-09-11,45,27.44
2009-09-18,29,27.11
2009-09-25,30,26.29
2009-10-02,40,25.00
2009-10-09,41,26.16
2009-10-16,29,26.10
2009-10-23,28,25.29
2009-10-30,45,23.96
2009-11-06,47,25.59
2009-11-13,36,26.76
2009-11-20,27,25.53
2009-11-27,27,26.05
2009-12-04,27,27.77
2009-12-11,44,28.25
2009-12-18,33,28.42
2009-12-25,35,
2010-01-01,36,
2010-01-08,38,28.50
2010-01-15,34,27.39
2010-01-22,36,26.21
2010-01-29,41,25.81
2010-02-05,46,26.28
2010-02-12,33,27.23
2010-02-19,41,27.41
2010-02-26,32,27.06
2010-03-05,35,27.26
2010-03-12,42,28.23
2010-03-19,30,28.25
2010-03-26,30,28.43
2010-04-02,32,
2010-04-09,37,28.64
2010-04-16,42,30.14
2010-04-23,35,30.60
2010-04-30,39,29.21
2010-05-07,43,27.80
2010-05-14,31,28.08
2010-05-21,43,27.36
2010-05-28,44,27.85
2010-06-04,37,27.31
2010-06-11,33,28.26
2010-06-18,26,29.70
2010-06-25,26,28.86
2010-07-02,31,27.60
2010-07-09,34,29.23
2010-07-16,36,29.37
2010-07-23,39,30.78
2010-07-30,34,30.45
2010-08-06,49,30.51
2010-08-13,29,28.77
2010-08-20,29,28.61
2010-08-27,33,28.72
2010-09-03,34,29.35
2010-09-10,23,28.04
2010-09-17,22,29.72
2010-09-24,33,30.61
2010-10-01,63,31.41
2010-10-08,45,30.97
2010-10-15,30,31.00
2010-10-22,36,31.35
2010-10-29,34,32.18
2010-11-05,46,33.96
2010-11-12,42,33.55
2010-11-19,40,33.91
2010-11-26,29,34.29
2010-12-03,47,35.66
2010-12-10,27,35.16
2010-12-17,23,34.10
2010-12-24,23,
2010-12-31,23,34.21
2011-01-07,25,34.98
2011-01-14,37,37.03
2011-01-21,33,36.47
2011-01-28,42,36.89
2011-02-04,39,37.61
2011-02-11,36,37.98
2011-02-18,26,38.19
2011-02-25,43,37.33
2011-03-04,45,37.20
2011-03-11,21,35.61
2011-03-18,43,35.70
2011-03-25,22,37.72
2011-04-01,45,37.92
2011-04-08,28,37.96
2011-04-15,34,37.69
2011-04-22,28,
2011-04-29,31,41.04
2011-05-06,45,41.24
2011-05-13,41,40.87
2011-05-20,34,39.97
2011-05-27,36,39.13
2011-06-03,42,37.37
2011-06-10,22,36.46
2011-06-17,28,35.69
2011-06-24,23,36.55
2011-07-01,28,38.35
2011-07-08,21,37.87
2011-07-15,65,32.34
2011-07-22,33,34.11
2011-07-29,19,33.75
2011-08-05,26,31.18
2011-08-12,40,32.05
2011-08-19,26,29.60
2011-08-26,23,32.29
2011-09-02,33,31.36
2011-09-09,24,32.06
2011-09-16,49,34.55
2011-09-23,39,32.92
2011-09-30,27,31.11
2011-10-07,30,33.68
2011-10-14,35,33.45
2011-10-21,37,33.80
2011-10-28,23,36.46
2011-11-04,26,37.02
2011-11-11,34,36.76
2011-11-18,21,34.58
2011-11-25,26,32.30
2011-12-02,32,34.65
2011-12-09,21,34.81
2011-12-16,19,34.48
2011-12-23,22,36.60
2011-12-30,19,36.63
2012-01-06,30,35.62
2012-01-13,20,35.61
2012-01-20,24,37.37
2012-01-27,24,36.79
2012-02-03,38,38.42
2012-02-10,25,36.69
2012-02-17,24,37.17
2012-02-24,31,36.37
2012-03-02,28,35.70
2012-03-09,22,36.13
2012-03-16,28,36.48
2012-03-23,22,36.57
2012-03-30,18,37.20
2012-04-06,18,
2012-04-13,30,35.81
2012-04-20,34,35.28
2012-04-27,42,35.41
2012-05-04,41,33.79
2012-05-11,32,31.90
2012-05-18,25,30.49
2012-05-25,28,30.93
2012-06-01,30,30.40
2012-06-08,29,32.01
2012-06-15,23,32.48
2012-06-22,32,33.20
2012-06-29,27,33.08
2012-07-06,22,32.20
2012-07-13,23,31.63
2012-07-20,27,32.39
2012-07-27,26,32.90
2012-08-03,37,34.70
2012-08-10,34,35.06
2012-08-17,24,35.73
2012-08-24,31,34.73
2012-08-31,33,34.75
2012-09-07,19,34.67
2012-09-14,31,34.35
2012-09-21,29,34.07
2012-09-28,22,32.74
2012-10-05,29,33.25
2012-10-12,21,31.71
2012-10-19,34,31.35
2012-10-26,21,31.73
2012-11-02,24,32.14
2012-11-09,26,30.62
2012-11-16,26,29.37
2012-11-23,25,29.99
2012-11-30,25,30.42
2012-12-07,25,30.85
2012-12-14,28,31.64
2012-12-21,20,32.59
2012-12-28,19,32.11
2013-01-04,18,33.21
2013-01-11,22,33.59
2013-01-18,24,33.53
2013-01-25,33,33.30
2013-02-01,25,34.52
2013-02-08,32,36.39
2013-02-15,35,37.08
2013-02-22,21,36.87
2013-03-01,32,36.46
2013-03-08,27,36.85
2013-03-15,27,36.28
2013-03-22,23,36.20
2013-03-29,25,
2013-04-05,17,35.54
2013-04-12,30,36.31
2013-04-19,18,34.34
2013-04-26,23,35.60
2013-05-03,26,37.55
2013-05-10,20,37.21
2013-05-17,25,37.08
2013-05-24,30,36.32
2013-05-31,22,36.48
2013-06-07,26,36.70
2013-06-14,22,37.04
2013-06-21,13,36.75
2013-06-28,12,37.25
2013-07-05,14,38.23
2013-07-12,16,39.44
2013-07-19,17,39.87
2013-07-26,14,39.29
2013-08-02,27,41.48
2013-08-09,26,40.61
2013-08-16,29,39.51
2013-08-23,34,39.08
2013-08-30,29,38.81
2013-09-06,20,38.90
2013-09-13,17,39.60
2013-09-20,22,40.24
2013-09-27,24,40.30
2013-10-04,25,39.39
2013-10-11,27,40.10
2013-10-18,18,40.30
2013-10-25,22,38.87
2013-11-01,34,42.54
2013-11-08,19,42.89
2013-11-15,20,43.61
2013-11-22,30,43.81
2013-11-29,24,43.29
2013-12-06,33,43.56
2013-12-13,30,41.53
2013-12-20,24,43.42
2013-12-27,17,44.28
2014-01-03,19,44.54
2014-01-10,24,45.07
2014-01-17,28,46.20
2014-01-24,17,44.08
2014-01-31,19,44.86
2014-02-07,21,44.44
2014-02-14,26,45.76
2014-02-21,32,45.26
2014-02-28,20,45.55
2014-03-07,22,46.58
2014-03-14,19,46.07
2014-03-21,24,47.45
2014-03-28,13,46.92
2014-04-04,22,47.18
2014-04-11,37,46.46
2014-04-18,16,
2014-04-25,19,47.16
2014-05-02,0,
